Depth	breadth\Structural Virality
9	8	6.3115
0	1	0.0000
0	1	0.0000
13	5	5.8437
0	1	0.0000
0	1	0.0000
2	1	1.3333
1	2	1.3333
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
24	6	9.0068
2	2	1.8000
2	2	1.5000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
22	18	12.8832
3	1	1.6667
4	2	2.4286
2	2	1.6667
1	1	1.0000
13	6	6.4324
1	1	1.0000
0	1	0.0000
37	6	15.6057
1	1	1.0000
8	2	3.4909
32	19	16.5376
3	3	2.1333
12	6	7.0744
3	1	1.6667
0	1	0.0000
3	3	2.2857
2	2	1.6667
0	1	0.0000
5	4	3.2308
1	1	1.0000
0	1	0.0000
3	4	2.7778
19	9	10.9655
4	3	3.0000
1	1	1.0000
7	4	3.8235
2	1	1.3333
0	1	0.0000
2	1	1.3333
0	1	0.0000
4	3	2.1905
11	6	7.4220
5	3	3.0667
7	4	5.5067
0	1	0.0000
4	2	2.5714
1	1	1.0000
0	1	0.0000
7	2	3.4615
1	1	1.0000
14	9	8.3354
0	1	0.0000
2	1	1.3333
9	8	4.9940
4	1	2.0000
3	2	2.1333
0	1	0.0000
2	1	1.3333
1	1	1.0000
7	4	3.1538
1	1	1.0000
23	4	9.6780
5	2	2.5000
0	1	0.0000
0	1	0.0000
0	1	0.0000
4	4	2.5556
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
4	6	3.5735
3	1	1.6667
11	4	4.7826
7	4	3.1795
1	1	1.0000
1	1	1.0000
0	1	0.0000
3	2	2.0000
0	1	0.0000
6	2	3.0000
0	1	0.0000
0	1	0.0000
3	2	1.9333
0	1	0.0000
6	3	2.9778
1	1	1.0000
5	4	3.5810
0	1	0.0000
4	3	2.6000
10	4	6.8473
0	1	0.0000
4	2	2.3333
1	1	1.0000
1	1	1.0000
2	2	1.6667
1	1	1.0000
3	1	1.6667
0	1	0.0000
2	3	1.8000
1	1	1.0000
2	1	1.3333
24	7	10.0539
0	1	0.0000
3	3	2.1905
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
14	3	5.9606
0	1	0.0000
0	1	0.0000
5	3	2.7778
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
10	5	5.2934
0	1	0.0000
9	9	6.1884
3	3	1.8667
0	1	0.0000
0	1	0.0000
9	3	5.0316
2	1	1.3333
3	1	1.6667
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
4	4	2.5556
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
1	1	1.0000
17	10	8.5475
0	1	0.0000
5	2	2.4762
0	1	0.0000
0	1	0.0000
0	1	0.0000
4	1	2.0000
11	5	5.8717
0	1	0.0000
4	4	2.7222
1	1	1.0000
0	1	0.0000
4	2	2.3333
0	1	0.0000
1	1	1.0000
22	21	11.9944
4	1	2.0000
11	4	5.4600
2	1	1.3333
19	11	10.1691
2	2	1.6667
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
2	3	1.9333
3	2	2.0667
0	1	0.0000
3	1	1.6667
0	1	0.0000
0	1	0.0000
4	1	2.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
4	2	2.8333
0	1	0.0000
0	1	0.0000
10	6	5.3757
2	1	1.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
23	12	11.1932
0	1	0.0000
0	1	0.0000
8	4	4.2690
1	1	1.0000
4	1	2.0000
0	1	0.0000
1	1	1.0000
3	3	2.6111
13	4	5.2078
4	1	2.0000
9	3	4.2157
0	1	0.0000
4	3	2.5000
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	3	2.5357
0	1	0.0000
3	2	2.0000
0	1	0.0000
2	1	1.3333
1	1	1.0000
0	1	0.0000
1	1	1.0000
4	4	2.5455
0	1	0.0000
0	1	0.0000
0	1	0.0000
